profile,phase,start_ps,end_ps,component_path,dynamic_w,leakage_w,total_w,temperature_used_c,temperature_returned_c
temperature_aware,update,5200000000,5300000000,/chip/cluster_5/tcdm,0,0.02168924265664056,0.02168924265664056,27.676000000000045,27.677999999999997
temperature_aware,update,5200000000,5300000000,/chip/cluster_6/redmule,0,0.13258408446353318,0.13258408446353318,27.611000000000047,27.614000000000033
temperature_aware,update,5200000000,5300000000,/chip/cluster_6/tcdm,0,0.021685482487077117,0.021685482487077117,27.670000000000016,27.673000000000002
temperature_aware,update,5200000000,5300000000,/chip/cluster_7/redmule,0,0.1326275723134649,0.1326275723134649,27.620000000000005,27.622000000000014
temperature_aware,update,5200000000,5300000000,/chip/cluster_7/tcdm,0,0.02172559096242249,0.02172559096242249,27.734000000000037,27.737000000000023
temperature_aware,update,5200000000,5300000000,/chip/cluster_8/redmule,0,0.13254059661360146,0.13254059661360146,27.602000000000032,27.605000000000018
temperature_aware,update,5200000000,5300000000,/chip/cluster_8/tcdm,0,0.02168798926678568,0.02168798926678568,27.674000000000035,27.67700000000002
temperature_aware,update,5200000000,5300000000,/chip/cluster_9/redmule,0,0.13258891644685863,0.13258891644685863,27.612000000000023,27.61500000000001
temperature_aware,update,5200000000,5300000000,/chip/cluster_9/tcdm,0,0.021685482487077117,0.021685482487077117,27.670000000000016,27.673000000000002
temperature_aware,update,5200000000,5300000000,/chip/cluster_10/redmule,0,0.13258408446353318,0.13258408446353318,27.611000000000047,27.613
temperature_aware,update,5200000000,5300000000,/chip/cluster_10/tcdm,0,0.021685482487077117,0.021685482487077117,27.670000000000016,27.673000000000002
temperature_aware,update,5200000000,5300000000,/chip/cluster_11/redmule,0,0.1326275723134649,0.1326275723134649,27.620000000000005,27.622000000000014
temperature_aware,update,5200000000,5300000000,/chip/cluster_11/tcdm,0,0.02172559096242249,0.02172559096242249,27.734000000000037,27.737000000000023
temperature_aware,update,5200000000,5300000000,/chip/cluster_12/redmule,0,0.13246328488038897,0.13246328488038897,27.586000000000013,27.589
temperature_aware,update,5200000000,5300000000,/chip/cluster_12/tcdm,0,0.02168046892765835,0.02168046892765835,27.662000000000035,27.66500000000002
temperature_aware,update,5200000000,5300000000,/chip/cluster_13/redmule,0,0.13254542859692692,0.13254542859692692,27.60300000000001,27.605000000000018
temperature_aware,update,5200000000,5300000000,/chip/cluster_13/tcdm,0,0.021681095622585713,0.021681095622585713,27.66300000000001,27.66500000000002
temperature_aware,update,5200000000,5300000000,/chip/cluster_14/redmule,0,0.13254542859692692,0.13254542859692692,27.60300000000001,27.605000000000018
temperature_aware,update,5200000000,5300000000,/chip/cluster_14/tcdm,0,0.021681095622585713,0.021681095622585713,27.66300000000001,27.66500000000002
temperature_aware,update,5200000000,5300000000,/chip/cluster_15/redmule,0,0.13258891644685863,0.13258891644685863,27.612000000000023,27.61500000000001
temperature_aware,update,5200000000,5300000000,/chip/cluster_15/tcdm,0,0.021722457487786263,0.021722457487786263,27.729000000000042,27.730999999999995
temperature_aware,update,5300000000,5400000000,/chip/cluster_0/redmule,4.127195135999375,0.24779938144993305,4.3749945174493075,47.14100000000002,47.24400000000003
temperature_aware,update,5300000000,5400000000,/chip/cluster_0/tcdm,0.04237516930703074,0.027055004623976052,0.06943017393100678,36.238,36.27800000000002
temperature_aware,update,5300000000,5400000000,/chip/cluster_1/redmule,0,0.13844044825434207,0.13844044825434207,28.823000000000036,28.833000000000027
temperature_aware,update,5300000000,5400000000,/chip/cluster_1/tcdm,0,0.021708670199385882,0.021708670199385882,27.70700000000005,27.710000000000036
temperature_aware,update,5300000000,5400000000,/chip/cluster_2/redmule,0,0.13265173223009347,0.13265173223009347,27.625,27.628000000000043
temperature_aware,update,5300000000,5400000000,/chip/cluster_2/tcdm,0,0.02169174943634942,0.02169174943634942,27.680000000000007,27.68300000000005
temperature_aware,update,5300000000,5400000000,/chip/cluster_3/redmule,0,0.13268072413004875,0.13268072413004875,27.63100000000003,27.634000000000015
temperature_aware,update,5300000000,5400000000,/chip/cluster_3/tcdm,0,0.021731231216768176,0.021731231216768176,27.742999999999995,27.746000000000038
temperature_aware,update,5300000000,5400000000,/chip/cluster_4/redmule,0,0.14084194396723987,0.14084194396723987,29.32000000000005,29.333000000000027
temperature_aware,update,5300000000,5400000000,/chip/cluster_4/tcdm,0,0.022213159615843147,0.022213159615843147,28.512,28.519000000000005
temperature_aware,update,5300000000,5400000000,/chip/cluster_5/redmule,0,0.13337652972895622,0.13337652972895622,27.775000000000034,27.778999999999996
temperature_aware,update,5300000000,5400000000,/chip/cluster_5/tcdm,0,0.02169049604649514,0.02169049604649514,27.677999999999997,27.68100000000004
temperature_aware,update,5300000000,5400000000,/chip/cluster_6/redmule,0,0.1325985804135108,0.1325985804135108,27.614000000000033,27.616000000000042
temperature_aware,update,5300000000,5400000000,/chip/cluster_6/tcdm,0,0.021687362571858763,0.021687362571858763,27.673000000000002,27.67500000000001
temperature_aware,update,5300000000,5400000000,/chip/cluster_7/redmule,0,0.13263723628011584,0.13263723628011584,27.622000000000014,27.625
temperature_aware,update,5300000000,5400000000,/chip/cluster_7/tcdm,0,0.021727471047204436,0.021727471047204436,27.737000000000023,27.74000000000001
temperature_aware,update,5300000000,5400000000,/chip/cluster_8/redmule,0,0.13255509256357909,0.13255509256357909,27.605000000000018,27.608000000000004
temperature_aware,update,5300000000,5400000000,/chip/cluster_8/tcdm,0,0.021689869351567626,0.021689869351567626,27.67700000000002,27.67900000000003
temperature_aware,update,5300000000,5400000000,/chip/cluster_9/redmule,0,0.1326034123968363,0.1326034123968363,27.61500000000001,27.61700000000002
temperature_aware,update,5300000000,5400000000,/chip/cluster_9/tcdm,0,0.021687362571858763,0.021687362571858763,27.673000000000002,27.67500000000001
temperature_aware,update,5300000000,5400000000,/chip/cluster_10/redmule,0,0.13259374843018412,0.13259374843018412,27.613,27.616000000000042
temperature_aware,update,5300000000,5400000000,/chip/cluster_10/tcdm,0,0.021687362571858763,0.021687362571858763,27.673000000000002,27.67500000000001
temperature_aware,update,5300000000,5400000000,/chip/cluster_11/redmule,0,0.13263723628011584,0.13263723628011584,27.622000000000014,27.625
temperature_aware,update,5300000000,5400000000,/chip/cluster_11/tcdm,0,0.021727471047204436,0.021727471047204436,27.737000000000023,27.74000000000001
temperature_aware,update,5300000000,5400000000,/chip/cluster_12/redmule,0,0.1324777808303666,0.1324777808303666,27.589,27.591000000000008
temperature_aware,update,5300000000,5400000000,/chip/cluster_12/tcdm,0,0.021682349012440295,0.021682349012440295,27.66500000000002,27.66700000000003
temperature_aware,update,5300000000,5400000000,/chip/cluster_13/redmule,0,0.13255509256357909,0.13255509256357909,27.605000000000018,27.608000000000004
temperature_aware,update,5300000000,5400000000,/chip/cluster_13/tcdm,0,0.021682349012440295,0.021682349012440295,27.66500000000002,27.668000000000006
