technology_node,component,profile,temperature_c,voltage_v,leakage_w_default_design
5nm,light_redmule,temperature_aware,100,0.7,1.2743925660644768
5nm,light_redmule,temperature_aware,115,0.6,1.3228016181986104
5nm,light_redmule,temperature_aware,115,0.7,2.0443297735796704
5nm,light_redmule,temperature_aware,125,0.6,1.8127025000878394
5nm,light_redmule,temperature_aware,125,0.7,2.80144931831757
5nm,tcdm,temperature_aware,25,0.6,0.01200732421875
5nm,tcdm,temperature_aware,25,0.7,0.02001220703125
5nm,tcdm,temperature_aware,40,0.6,0.017647578564233032
5nm,tcdm,temperature_aware,40,0.7,0.029412630940388387
5nm,tcdm,temperature_aware,55,0.6,0.02593725492099678
5nm,tcdm,temperature_aware,55,0.7,0.04322875820166129
5nm,tcdm,temperature_aware,70,0.6,0.03812087819233398
5nm,tcdm,temperature_aware,70,0.7,0.0635347969872233
5nm,tcdm,temperature_aware,85,0.6,0.056027569555109936
5nm,tcdm,temperature_aware,85,0.7,0.0933792825918499
5nm,tcdm,temperature_aware,100,0.6,0.08234565149351529
5nm,tcdm,temperature_aware,100,0.7,0.13724275248919213
5nm,tcdm,temperature_aware,115,0.6,0.12102624428892511
5nm,tcdm,temperature_aware,115,0.7,0.2017104071482085
5nm,tcdm,temperature_aware,125,0.6,0.15644876794522164
5nm,tcdm,temperature_aware,125,0.7,0.26074794657536937
